Data for 500x500 matrix
id,width,height,value
1,9,10,9
2,10,1,4
3,3,8,1
4,7,9,6
5,4,3,10
6,8,3,9
7,9,3,2
8,6,4,5
9,4,2,6
10,2,10,9
11,5,1,2
12,6,5,2
13,2,8,7
14,2,6,3
15,3,9,8
16,8,9,9
17,3,6,7
18,4,10,8
19,8,3,7
20,6,9,3
21,5,9,2
22,3,6,9
23,4,1,8
24,6,2,2
25,2,5,5
26,9,8,5
27,3,2,5
28,6,3,4
29,2,2,6
30,3,3,8
31,2,2,10
32,7,5,2
33,6,3,8
34,1,1,3
35,1,6,2
36,9,6,6
37,5,7,4
38,6,3,6
39,8,6,7
40,10,2,3
41,4,7,7
42,9,3,10
43,4,5,8
44,7,2,3
45,9,7,2
46,5,6,9
47,1,3,1
48,9,6,1
49,1,1,7
50,2,7,5
51,8,10,8
52,2,6,2
53,4,10,9
54,5,7,1
55,6,8,4
56,3,3,5
57,7,5,10
58,10,2,7
59,9,1,4
60,1,3,3
61,9,5,6
62,5,10,1
63,9,4,6
64,7,6,3
65,4,2,6
66,6,5,4
67,1,4,9
68,2,10,9
69,2,1,2
70,4,4,2
71,7,2,9
72,6,9,1
73,2,4,6
74,3,2,6
75,8,6,8
76,2,9,3
77,3,5,9
78,8,2,7
79,1,9,6
80,3,3,3
81,6,9,9
82,6,6,3
83,10,10,3
84,6,10,6
85,6,1,1
86,4,5,4
87,7,7,10
88,2,8,9
89,6,5,5
90,5,1,2
91,3,9,1
92,4,9,8
93,4,3,6
94,5,7,1
95,9,5,10
96,2,6,6
97,8,2,2
98,1,6,6
99,1,6,8
100,8,7,9
101,2,2,9
102,5,3,4
103,1,10,5
104,2,5,2
105,1,10,9
106,2,2,2
107,7,2,7
108,5,2,3
109,8,9,4
110,5,1,5
111,3,6,2
112,7,8,7
113,6,10,4
114,8,1,4
115,4,2,4
116,1,10,7
117,6,10,4
118,2,7,8
119,1,4,7
120,6,9,4
121,4,3,10
122,3,10,8
123,1,3,9
124,9,5,10
125,3,1,8
126,5,9,10
127,2,10,2
128,4,1,4
129,6,3,8
130,2,5,6
131,4,2,10
132,8,6,10
133,10,9,5
134,2,4,9
135,9,1,8
136,3,6,3
137,3,1,10
138,7,4,8
139,9,9,2
140,4,9,8
141,10,3,8
142,9,5,6
143,10,4,10
144,1,3,5
145,10,7,8
146,1,6,4
147,2,1,8
148,4,3,5
149,6,2,5
150,7,3,1
151,2,6,6
152,5,10,7
153,7,2,8
154,3,1,3
155,5,9,1
156,8,7,5
157,10,7,9
158,8,3,2
159,4,9,1
160,4,6,7
161,1,1,4
162,7,6,5
163,9,9,9
164,5,7,1
165,9,4,6
166,4,8,3
167,2,2,6
168,1,1,10
169,3,5,6
170,1,6,6
171,8,2,5
172,5,10,6
173,2,3,8
174,8,8,2
175,1,4,5
176,5,7,8
177,7,7,6
178,1,9,2
179,6,8,1
180,6,8,6
181,4,10,4
182,5,10,2
183,8,7,1
184,2,8,2
185,6,1,1
186,4,9,9
187,3,7,10
188,6,7,1
189,3,1,3
190,7,9,3
191,7,4,8
192,4,9,4
193,8,2,2
194,10,2,6
195,9,9,3
196,3,5,8
197,8,5,4
198,2,1,3
199,10,2,9
200,8,2,4
201,8,3,6
202,6,6,1
203,1,1,10
204,4,10,5
205,2,3,3
206,6,3,8
207,3,9,6
208,10,9,7
209,10,5,1
210,8,9,4
211,4,9,9
212,10,7,3
213,6,9,6
214,4,7,9
215,8,6,1
216,2,1,7
217,4,4,9
218,9,10,2
219,10,3,7
220,8,6,6
221,10,8,4
222,4,1,7
223,2,6,3
224,7,7,10
225,5,1,10
226,4,9,7
227,5,8,1
228,5,2,7
229,7,10,6
230,6,9,10
231,6,10,5
232,8,5,10
233,10,3,5
234,4,7,4
235,3,2,10
236,5,9,7
237,3,4,6
238,3,4,4
239,3,7,7
240,8,2,2
241,8,8,6
242,8,2,5
243,9,7,5
244,6,10,8
245,1,2,2
246,5,1,9
247,8,6,10
248,1,4,9
249,10,7,1
250,10,8,1
251,7,6,4
252,9,8,8
253,2,6,8
254,6,9,7
255,3,10,7
256,3,1,10
257,8,3,7
258,9,9,4
259,6,4,4
260,10,4,9
261,5,1,7
262,7,2,9
263,2,8,1
264,2,7,2
265,1,3,6
266,4,6,2
267,1,6,2
268,4,3,9
269,10,9,7
270,1,3,10
271,7,3,8
272,2,9,3
273,2,6,2
274,8,3,7
275,3,6,4
276,2,3,8
277,4,10,6
278,1,7,10
279,1,5,7
280,3,4,7
281,7,3,3
282,2,3,8
283,5,5,8
284,9,1,2
285,2,5,1
286,7,3,5
287,6,3,7
288,5,2,10
289,9,2,6
290,3,9,5
291,4,6,10
292,2,7,7
293,5,6,2
294,8,6,9
295,2,1,3
296,4,2,6
297,1,10,9
298,10,8,3
299,2,7,6
300,7,10,6
301,5,8,4
